ID,Name,Shopping List Name,Nährwerte pro 100g,Kilokalorien,Kilojoule,Protein,Fett,Kohlenhydrate,davon Zucker,Ballaststoffe,Fettsäuren pro 100g,Gesättigte Fettsäuren,Einfach ungesättigte Fettsäuren,Mehrfach ungesättigte Fettsäuren,Cholesterin,Vitamine pro 100g,Vitamin A,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Vitamin B1,Vitamin B2,Vitamin B6,Vitamin B12,Biotin,Folsäure,Niacin,Panthotensäure,Mineralstoffe pro 100g,Calcium [Ca],Chlor [Cl],Kalium [K],Magnesium [Mg],Natrium [Na],Phosphor [P],Schwefel [S],Spurenelemente pro 100g,Kupfer [Cu],Eisen [Fe],Fluor [F],Mangan [Mn],Jod [J],Zink [Zn],Aminosäuren pro 100g,Alanin,Arginin,Aspargin,Asparginsäure,Cystein,Glutamin,Glutaminsäure,Glycerin,Histidin,Isoleucin,weitere Aminosäuren,Leucin,Lysin,Methionin,Phenylalanin,Prolin,Serin,Threonin,Tryptophan,Tyrosin,Valin,Compatible with vegetarian,Compatible with vegan,Compatible with pescetarian,Compatible with Paleo,Compatible with lactose intolerance,Compatible with fructose intolerance,Compatible with histamine intolerance,Compatible with gluten intolerance,Compatible with glutamat intolerance,Compatible with saccharose intolerance,Compatible with peanut intolerance,Compatible with almond intolerance,Compatible with haselnut intolerance,Compatible with walnut intolerance,Compatible with cashew intolerance,Compatible with pecan nut intolerance,Compatible with Brazil nut intolerance,Compatible with pistachio intolerance,Compatible with banana intolerance,Compatible with avocade intolerance,Compatible with apple intolerance,Compatible with kiwi fruit intolerance,Compatible with melon intolerance,Compatible with papaya intolerance,Compatible with peach intolerance,Compatible with strawberry intolerance,Is snack,Is fatburner,Price level,Synonym of,Exchangeable with (1:n),Food Category,Shopping List Category,Source
39,Corned Beef,Corned Beef,,141,590,"20,6","6,1",0,0,0,0,"2,6","2,7","0,3","0,1",0,0,0,0,"0,1",0,0,"0,1","0,1",0,0,0,3,"0,4",0,31,1400,135,15,900,134,0,0,259,2450,126,28,3,3720,0,1251,1482,40,1897,249,1,3680,1012,672,1151,0,1828,1847,516,854,837,804,1022,222,738,1274,0,0,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2,Corned Beef,0,Fleisch,Fleisch & Fisch,lexolino
40,Crème fraîche,Crème fraîche,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2,Crème fraîche,Créme legère,Milch & Milchprodukte,Milchprodukte,
41,Créme legère,Créme legère,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2,Créme legère,Crème fraîche,Milch & Milchprodukte,Milchprodukte,
42,Curry,Curry,,302,1263,"10,2","8,4","44,7","35,4","10,1",0,"2,1","2,3","2,1",0,0,"0,5","16,7",0,0,0,"0,2","0,3","0,1",0,0,0,4,"0,3",0,219,3337,1769,176,1905,287,98,0,492,31147,117,6648,5,3341,0,323,470,1349,1165,77,1534,1324,293,185,375,0,539,479,106,335,298,349,256,83,217,478,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2,Curry,0,Gewürze & Kräuter,Gewürze & Kräuter,lexolino
43,Currypaste,Currypaste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2,Currypaste,0,Gewürze & Kräuter,Gewürze & Kräuter,
44,Dijonsenf,Dijonsenf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,3,Dijonsenf,0,Gewürze & Kräuter,Gewürze & Kräuter,
45,Dill,Dill,,56,233,"3,9","0,8","7,9","6,4","5,7",0,"0,1",0,"0,5",0,0,"1,1","70,7",0,"1,7","0,3","0,2","0,4","0,3",0,0,0,"2,4","0,3",0,239,68,628,27,29,88,49,0,238,5995,67,2565,3,1728,0,181,154,424,348,34,648,532,98,55,149,0,235,202,48,117,157,121,120,37,68,157,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2,Dill,0,Gewürze & Kräuter,Gewürze & Kräuter,lexolino
46,Dinkelmehl (Vollkorn),Dinkelmehl (Vollkorn),,345,1450,"9,5","1,6","67,5","0,5",10,,"0,3",,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2,Dinkelmehl (Vollkorn),Weizenmehl,"Getreideprodukte, Nährmittel, Backwaren",Backwaren,
47,Edamer,Edamer,,367,1535,"24,1","28,9",0,0,0,0,"17,7","8,5",1,"0,1",0,"0,3",0,0,"0,4",0,0,"0,3","0,1",0,0,0,"0,1","0,4",0,728,873,104,35,594,594,251,0,106,309,109,40,36,3838,0,657,802,32,1661,97,23,5494,373,587,1341,0,2239,1990,599,1142,2649,1380,1088,322,1178,1671,0,0,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2,Edamer,"Edamer,Emmentaler,Gouda,Schafskäse",Käse & Käsezubereitungen,Aufschnitt,lexolino
48,Edamer Fettstufe,Edamer Fettstufe,,317,1325,"26,6","22,4",0,0,0,0,"13,2",7,"0,8","0,1",0,"0,3",0,0,"0,7",0,0,"0,3","0,1",0,0,0,"0,1","0,4",0,776,945,97,37,588,556,216,0,101,343,107,38,31,4240,0,719,784,90,1537,104,341,5837,439,558,1451,0,2257,2036,630,1279,2845,1438,1070,308,1370,1529,0,0,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2,Edamer,"Edamer,Emmentaler,Gouda,Schafskäse",Käse & Käsezubereitungen,Aufschnitt,lexolino
49,Eier,Eier,,170,713,13,"12,3","0,7","0,7",0,0,"3,5","4,7","1,6","0,4",0,"0,3",0,0,"2,2","0,1","0,1","0,3","0,1",0,0,0,"0,1","1,6",0,58,175,138,13,144,231,191,0,144,1911,119,32,11,1323,0,696,859,87,1296,298,110,1641,432,279,779,0,1114,684,372,755,439,834,671,188,492,1003,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2,Eier,0,Eier,Fleisch & Fisch,lexolino
50,Eisbergsalat,Eisbergsalat,,13,55,1,"0,2","1,7","1,2","1,7",0,0,0,"0,1",0,0,"0,6","3,8",0,"0,6","0,1","0,1",0,0,0,0,0,"0,2","0,1",0,19,40,168,7,12,20,17,0,28,475,94,160,2,211,0,43,50,92,100,8,113,123,39,17,64,0,63,48,12,46,55,36,39,12,28,52,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2,Eisbergsalat,0,Gemüse,Gemüse,lexolino
51,Eiweißpulver,Eiweißpulver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2,Eiweißpulver,0,"Getreideprodukte, Nährmittel, Backwaren",Backwaren,
52,Emmentaler,Emmentaler,,400,1673,"31,3","29,3",0,0,0,0,"17,8","8,6","1,1","0,1",0,"0,4",0,0,"0,6",0,"0,1","0,4","0,1",0,0,0,"0,1","0,4",0,1144,576,92,41,300,756,202,0,655,300,152,41,37,4968,0,806,985,430,1655,153,1676,6449,461,878,1765,0,2751,1997,627,1426,3062,1402,1201,384,1439,1736,0,0,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2,Emmentaler,"Edamer,Emmentaler,Gouda,Schafskäse",Käse & Käsezubereitungen,Aufschnitt,lexolino
53,Erdbeere,Erdbeere,,28,116,"0,8","0,4","5,1","4,5","1,9",0,0,"0,1","0,2",0,0,0,"68,9",0,"0,1",0,0,0,"0,1",0,0,0,"0,5","0,3",0,26,13,149,16,3,24,14,0,116,1027,23,212,1,112,0,45,36,45,196,7,31,132,33,16,17,0,43,35,1,25,28,35,24,14,28,25,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,3,Erdbeere,0,Gemüse,Gemüse,lexolino
54,Erdnussbutter,Erdnussbutter,,627,2622,"27,1","49,9","12,7",0,"8,1",0,"9,3",26,"12,3",0,0,0,0,0,"6,9",0,"0,1","0,1","0,6",0,"0,1",0,"15,5","1,3",0,59,504,760,196,230,369,369,0,637,1940,20,1642,0,3180,0,1028,2897,565,2937,264,1011,5262,1592,699,967,0,1917,949,235,1240,1167,1409,627,279,1008,1091,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,3,Erdnussbutter,0,Nüsse & Samen,Sonstiges,lexolino
55,Erdnussöl,Erdnussöl,,918,3840,0,"98,4","0,2",0,0,0,"16,9","48,5","28,7",0,0,0,0,0,"11,1",0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,3,67,0,2,0,9,0,0,0,19,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,3,Erdnussöl,"Olivenöl,Rapsöl,Sesamöl,Sonnenblumenöl,Butter,Magarine",Fette & Speiseöle,Sonstiges,lexolino
56,Fenchelsamen,Fenchelsamen,,348,1455,"17,2",14,"36,2","31,6","16,2",0,"0,5",9,"1,8",0,0,0,"5,3",0,"0,7","0,3","0,4","0,3","0,1",0,0,0,"6,6","0,2",0,1148,76,1660,370,84,453,52,0,1166,17798,64,1410,3,3478,0,719,713,754,1705,203,1378,3115,1166,294,674,0,990,735,306,600,814,929,564,276,395,892,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2,Fenchelsamen,0,Gewürze & Kräuter,Gewürze & Kräuter,lexolino
57,Feta,Feta-Käse,,238,998,"15,8","18,7",0,0,0,0,12,"4,7","0,9",0,0,"0,2",0,0,"0,5",0,0,"0,3","0,1",0,0,0,"0,2","0,5",0,419,1729,144,27,1235,364,200,0,74,702,112,33,24,1900,0,748,511,16,890,82,21,2746,111,441,944,0,1616,1414,391,815,1609,1282,726,219,790,1291,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2,Feta,Hüttenkäse Magerstufe,Käse & Käsezubereitungen,Milchprodukte,lexolino
58,Fisch gegart,Fisch gegart,,99,414,"21,7","1,1",0,0,0,0,"0,1","0,3","0,3","0,1",0,0,"0,7",0,"0,4",0,0,"0,2","0,2",0,0,0,"2,9","0,3",0,16,216,308,27,91,191,246,0,49,525,40,19,168,720,0,1337,1177,841,2067,196,1132,2785,926,565,1023,0,1629,1921,537,882,752,942,989,230,745,1062,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2,Fisch,"Lachs,Lachs geräuchert,Lachsfilet,Seelachs",Fisch,Fleisch & Fisch,lexolino
59,Fleischbrühe,Fleischbrühe,,152,634,"16,7",4,"11,6","1,2",0,0,"1,8","1,8","0,1",0,0,0,0,0,"0,1",0,"0,2","0,2",0,0,0,0,3,0,0,225,39960,500,53,25000,756,192,0,667,1940,32,106,3,186,0,1357,885,883,1261,46,1399,1999,1940,344,438,0,837,857,200,530,1428,633,559,68,275,721,0,0,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2,Fleischbrühe,Hühnerbrühe/- boullion gekörnt,Fleisch,Fleisch & Fisch,lexolino
60,Fleischtomate,Tomate,,15,65,"0,9","0,2","2,4","2,3","0,9",0,0,0,"0,1",0,0,"0,1",26,0,"0,8",0,"0,1",0,"0,1",0,0,0,"0,5","0,3",0,15,56,223,13,6,24,10,0,63,520,23,146,1,175,0,32,24,30,122,8,87,359,25,13,25,0,35,35,6,25,17,29,25,7,12,25,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2,Fleischtomate,0,Gemüse,Gemüse,lexolino
61,Frischkäse,Frischkäse,,363,1517,"11,4","32,8","2,6",0,0,0,"20,3","9,5","1,2","0,1",0,"0,3","0,2",0,"0,7",0,0,"0,2","0,1",0,0,0,"0,1","0,5",0,85,599,96,8,354,150,120,0,12,86,12,5,8,378,0,321,374,64,743,53,194,2230,174,300,630,0,1076,866,238,481,1271,623,410,133,546,713,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2,Frischkäse,0,Käse & Käsezubereitungen,Aufschnitt,lexolino
62,Frischkäse Doppelrahmstufe,Frischkäse Doppelrahmstufe,,341,1426,"10,7","30,8","2,6",0,0,0,18,"9,8","1,1","0,1",0,"0,3","0,2",0,"0,7",0,0,"0,2","0,1",0,0,0,"0,1","0,4",0,89,581,93,6,322,152,112,0,14,74,13,6,8,417,0,288,334,36,668,55,24,2115,181,329,588,0,1014,784,261,486,1295,578,460,144,476,620,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2,Frischkäse,0,Käse & Käsezubereitungen,Aufschnitt,lexolino
63,Frühlingszwiebel / Lauchzwiebel,Frühlingszwiebel / Lauchzwiebel,,42,174,"0,9","0,3","8,5",,"2,8",,,,,,,0,25,0,"0,25",,"0,13","0,06","0,2",0,,,,,,140,,230,11,,24,50,,100,1200,,200,,1000,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2,Frühlingszwiebel,0,Gemüse,Gemüse,http://fddb.info/db/de/lebensmittel/naturprodukt_fruehlingszwiebel___lauchzwiebel_frisch/index.html
64,Garnelen,Garnelen,,99,415,"19,3","1,8",-,0,0,0,"0,3","0,3","0,6","0,1",0,0,"2,1",0,"3,8",0,"0,1",0,"0,1",0,0,0,"2,6","0,3",0,51,93,200,36,149,217,309,0,282,1785,105,49,122,2185,0,1254,1517,164,2112,219,212,2739,1207,293,827,0,1512,1538,521,726,877,1014,827,221,683,832,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,3,Garnelen,0,Schalentiere & Krustentiere,Tiefgekühltes,lexolino
65,Geflügel,Geflügel,,164,688,"18,3","9,7",-,0,0,0,"3,2","3,8","2,1","0,1",0,0,0,0,"0,1",0,"0,1","0,2","0,5",0,0,0,"6,5","0,9",0,12,71,237,21,71,152,190,0,155,735,30,22,9,1030,0,989,1367,6,1934,241,0,3254,1053,543,994,0,1448,1660,512,740,887,732,794,206,655,993,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2,Geflügel,Pute,Fleisch,Fleisch & Fisch,lexolino
66,Gemüse,Gemüse,,16,67,"0,9","0,2","2,6","2,2",1,0,0,0,"0,1",0,0,"0,1","23,3",0,"0,9",0,"0,1",0,"0,1",0,0,0,"0,5","0,3",0,13,60,244,13,6,25,12,0,63,480,23,139,1,183,0,30,22,25,130,9,59,308,23,12,25,0,37,37,6,23,19,27,29,9,13,22,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2,Gemüse,0,Gemüse,Gemüse,lexolino
67,Gemüsebrühe,Gemüsebrühe,,10,40,"0,4","0,7",0,"0,1","0,1",,"0,4","0,2","0,1",0,,,,,,,,,,,,,,,,,,,,420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2,Gemüsebrühe,0,Gewürze & Kräuter,Gewürze & Kräuter,
68,geriebener Käse,geriebener Käse,,367,1517,32,26,1,1,0,,16,,,,,,,,,,,,,,,,,,,,,,,677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2,geriebener Käse,0,Käse & Käsezubereitungen,Aufschnitt,
69,getrocknete Tomate (in Öl),getrocknete Tomate (in Öl),,230,950,5,16,14,12,7,,1,,,,,,,,,,,,,,,,,,,,,,,1700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2,Tomate,0,Gemüse,Gemüse,
70,Gewürzgurken Sauerkonserve,Gewürzgurken (Konserve),,11,48,"0,6","0,2","1,8","1,4","0,5",0,"0,1",0,"0,1",0,0,"0,1","2,1",0,"0,1",0,0,0,0,0,0,0,"0,1","0,1",0,20,708,114,13,352,34,16,0,100,492,28,211,3,171,0,20,44,20,36,4,96,168,21,8,17,0,24,23,4,13,17,19,22,4,11,20,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2,Gurke,0,Gemüse,Gemüse,lexolino
71,Gewürzmischung,Gewürzmischung,,143,593,3,6,17,7,4,,2,,,0,,,,,,,,,,,,,,,,,,,,3600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2,Gewürzmischung,0,Gewürze & Kräuter,Gewürze & Kräuter,
72,Glasnudeln,Glasnudeln,,136,569,"0,3","0,1","33,1",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2,Glasnudeln,0,"Getreideprodukte, Nährmittel, Backwaren",Sonstiges,http://fddb.info/db/de/lebensmittel/durchschnittswert_glasnudeln_gekocht/index.html
73,Gouda,Gouda,,389,1627,"25,8","30,5",0,0,0,0,"19,3","8,3","1,1","0,1",0,"0,3",0,0,"0,7",0,0,"0,3","0,1",0,0,0,"0,1","0,4",0,832,981,95,34,576,506,220,0,102,300,118,37,32,3534,0,696,791,324,1707,93,919,4850,432,552,1418,0,2295,1932,616,1225,2724,1246,952,335,1186,1462,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2,Gouda,0,Käse & Käsezubereitungen,Aufschnitt,lexolino
74,grüne Peperoni (gedünstet),grüne Peperoni (gedünstet),,120,120,30,"0,395","3,42","3,29","2,63",,"0,066","0,0132","0,066",0,,"0,224",142,0,"1,1",,"0,011","0,013","0,38",0,,22,"0,13","0,12",,"7,89",25,204,"7,89","7,89","19,7",,,,"0,395",,,"2,63","0,263",,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2,grüne Peperoni,0,Gemüse,Gemüse,
75,Gurke,Gurke,,12,51,"0,6","0,2",2,"1,7","0,6",0,"0,1",0,"0,1",0,0,"0,1","8,6",0,"0,1",0,0,0,0,0,0,0,"0,2","0,3",0,14,40,131,8,9,25,11,0,82,460,20,137,2,165,0,21,44,18,38,3,89,186,20,7,19,0,26,25,5,14,13,16,15,4,11,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2,Gurke,0,Gemüse,Gemüse,lexolino
76,Hafer Vollkornflocken,Hafer Vollkornflocken,,388,1624,"11,8",7,"67,7",0,"5,5",0,"1,2","2,7","2,7",0,0,0,0,0,"1,6","0,1","0,6","0,2","0,2",0,0,0,1,1,0,51,56,355,136,7,383,200,0,572,4606,35,4862,4,3695,0,589,711,19,1022,256,33,2701,565,198,628,0,830,409,176,608,857,730,380,137,413,689,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2,Haferflocken,0,"Getreideprodukte, Nährmittel, Backwaren",Backwaren,lexolino
77,Haferkleie,Haferkleie,,370,1540,"17,3","7,03","50,8",0,"15,4",,"1,33","2,38","2,77",0,,0,0,0,"1,7",,"1,2","0,22","0,17",0,,52,"0,93","1,5",,58,0,566,235,4,734,,,,"5,41",,,"3,1","9,4",,,,,,,,,,,,,,,,,,,,,,,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2,Haferkleie,0,"Getreideprodukte, Nährmittel, Backwaren",Sonstiges,
78,Hähnchen (Brust),Hähnchen (Brust),,130,530,24,"3,3",0,0,0,,"1,25","1,65","0,933",56,,12,0,"1,5","0,62",,"0,08","0,14","0,57","0,4",,10,,"0,87",,"4,6",69,329,26,39,208,,,"0,5",,,10,"0,6",,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2,Hähnchen,Pute,Fleisch,Fleisch & Fisch,
79,Hähnchen (Keule),Hähnchen (Keule),,170,710,"18,8","10,3",0,0,0,0,"2,8","4,5","1,5",77,,12,"2,5","0,01","0,066",,"0,11","0,15","0,5","0,4",,8,6,"0,9",,12,69,260,20,70,160,,,"0,7",,,10,1,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2,Hähnchen,Pute,Fleisch,Fleisch & Fisch,
80,Hartkäse,Hartkäse,,308,1290,"34,5","18,1",0,0,0,0,"10,3","5,9","0,7",0,0,"0,2",0,0,"0,5",0,0,"0,5","0,1",0,0,0,"0,1","0,5",0,837,1045,104,27,744,612,190,0,53,420,137,42,54,4725,0,792,1137,645,1679,168,2572,6695,455,976,1795,0,2847,2106,785,1452,3404,1692,1413,415,1555,1869,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2,Hartkäse,0,Käse & Käsezubereitungen,Aufschnitt,lexolino
81,Haselnuss,Haselnuss,,676,2828,"12,4","62,3",11,1,"8,6",0,"4,5","48,3","6,8",0,0,0,3,0,"28,7",0,"0,4","0,2","0,3",0,0,0,"1,3","1,1",0,205,11,654,147,2,362,170,0,1216,4066,17,6099,1,1739,0,549,1512,213,858,132,595,2399,839,220,628,0,715,320,104,394,581,769,313,170,368,759,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2,Haselnuss,0,Nüsse & Samen,Sonstiges,lexolino
82,Himbeere,Himbeeren,,26,109,"1,3","0,3","4,5","3,6","6,8",0,0,0,"0,2",0,0,0,"25,3",0,"0,9",0,0,"0,1","0,1",0,0,0,"0,3","0,3",0,41,23,165,31,1,43,18,0,140,1070,21,364,0,567,0,55,68,135,181,13,151,203,49,34,24,0,60,35,19,39,42,51,36,12,25,42,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2,Himbeere,0,Gemüse,Gemüse,lexolino
