ID,Unit,Unit Written,Unit : g
1,g,Gramm,"1,000"
2,kg,Kilogramm,"0,001"
2,mg,Milligramm,"1000,000"
3,µg,Mikrogramm,"1000000,000"
4,ml,Milliliter,"1,000"
5,l,Liter,"0,001"
6,Stück,Stück,
7,Kugel,Kugel,
8,Scheibe,Scheibe,
9,TL,Teelöffel,
10,EL,Esslöffel,
11,Tasse,Tasse,
12,Becher,Becher,
13,Schnapsglas,Schnapsglas,
14,Würfel,Würfel,
15,Prise,Prise,
16,Bund,Bund,
17,Bündel,Bündel,
18,Zehe,Zehe,
19,Knolle,Knolle,
20,Dose,Dose,
21,Packung,Packung,
22,Päckchen,Päckchen,
23,Glas,Glas,
24,Blatt,Blatt,
25,kcal,Kilokalorien,
26,kJ,Kilojoule,